id,product_name,description,seo_keywords
1,Rack End Mazda E2000,"Steering rack end untuk Mazda E2000 tahun 1988-2002, komponen kritis di sistem kemudi yang sering diabaikan sampai setir mulai terasa longgar. Bagian ini menghubungkan steering rack ke tie rod, jadi kalau sudah oblak, setir nggak presisi lagi — bahaya banget buat kendaraan niaga yang tiap hari jalan jauh. Materialnya steel alloy yang kuat menahan beban berat, dilengkapi rubber boot untuk melindungi joint dari debu dan air. Spesifikasi thread M14x1.5 dengan panjang 185mm, tinggal drop-in tanpa modifikasi. Bobot 1.2kg termasuk rubber boot yang sudah include di paket. Cocok untuk Mazda E2000 yang dipakai angkutan penumpang, mobil travel, atau kendaraan operasional. Kalau gejalanya setir bergetir di kecepatan tinggi atau ada bunyi clunking saat belok, kemungkinan besar rack end ini sudah minta ganti. Pemasangan butuh spooring ulang setelahnya supaya toe angle balik ke spek pabrikan. Umur pakai rack end tergantung kondisi jalan — kalau sering lewat jalan rusak, bisa lebih cepat aus. OEM quality, presisi tinggi, cocok untuk bengkel yang mau stok parts E2000 karena unit ini masih banyak beroperasi di Indonesia.","rack end Mazda E2000, steering rack end E2000, rack end M14x1.5, spare part kemudi Mazda E2000, rack end OEM Mazda, komponen steering Mazda E2000 1988, rack end steel alloy, rack end 185mm, suku cadang Mazda E2000, pengganti rack end E2000"
2,Tie Rod End Timor S515,"Ini tie rod end merk Federal Mogul buat Timor S515, tahun produksi 1996 sampai 2007. Federal Mogul itu brand yang udah terkenal di dunia otomotif, jadi soal presisi dan durabilitas nggak perlu diragukan lagi. Fungsi tie rod end ini menghubungkan tie rod ke steering knuckle — dia yang nge-translate gerakan putar setir jadi gerakan roda. Thread-nya M12x1.25, artinya ini ukuran spesifik untuk platform Timor yang basisnya memang pakai standar Mazda/Ford. Kalau kamu ngerasain setir mulai nggak center, atau mobil oleng ke kiri-kanan saat jalan lurus, cek dulu tie rod end ini. Material steel alloy dengan rubber boot untuk proteksi dari kontaminasi. Bobot 1.2 kg, solid dan padat. Untuk Timor S515 yang masih jadi andalan banyak supir taksi dan kendaraan operasional di kota-kota besar, komponen ini wajib dipantau kondisinya. Ganti tie rod end nggak ribet, tapi wajib spooring setelah pasang. Kalau nggak dispooring, ban bisa habis nggak rata dalam hitungan bulan. OEM quality dari Federal Mogul bikin parts ini awet dipakai di medan perkotaan maupun luar kota.","tie rod end Timor S515, tie rod end Federal Mogul, spare part kemudi Timor, tie rod end M12x1.25, komponen steering Timor S515, tie rod end OEM Timor, suku cadang Timor S515 1996, tie rod end steel alloy, pengganti tie rod Timor, tie rod end rubber boot"
3,Ball Joint Mazda MR90/Vantren,"Ball joint lower arm dari Asahi untuk Mazda MR90 dan Vantren, produksi tahun 1992-1998. Asahi ini salah satu aftermarket brand yang reputasinya diakui di kalangan mekanik karena presisi casting-nya. Ball joint ini dipasang di lower arm, jadi dia yang nahan beban vertikal roda sekaligus ngasih titik pivot untuk gerakan kemudi. Pin diameter 18mm, solid dan tahan terhadap tekanan lateral. Satu set sudah include cotter pin dan castle nut, jadi nggak perlu beli terpisah — tinggal pasang. Material steel alloy dengan rubber boot yang melindungi ball joint dari kotoran. Mazda MR90 dan Vantren ini populasi unitnya masih banyak di daerah, terutama buat angkutan pedesaan dan kendaraan niaga ringan. Gejala ball joint aus: bunyi mentok saat lewat polisi tidur, setir terasa wandering, atau ban aus nggak simetris. Kalau dibiarkan, ball joint yang sudah rusak bisa bikin roda mendadak ambles — ini bahaya banget. Bobot 1.2 kg, build quality solid. Penggantian butuh ball joint press tool atau palu besar, dan wajib spooring setelahnya. Asahi memberikan keseimbangan antara harga dan kualitas yang cocok untuk pengguna harian.","ball joint Mazda MR90, ball joint Vantren, ball joint lower arm Asahi, spare part Mazda MR90, ball joint pin 18mm, komponen kaki-kaki Mazda, ball joint MR90 Vantren 1992, ball joint steel alloy, suku cadang Vantren, ball joint Asahi OEM"
4,As Kopling L300,"As kopling Mitsubishi L300 dari Mitsuda ini adalah komponen transmisi yang vital — tanpa as kopling yang sehat, perpindahan gigi nggak akan pernah mulus. Bicara soal Mitsubishi L300, ini mobil yang umurnya sudah puluhan tahun tapi masih jadi tulang punggung logistik di seluruh Indonesia. Dari tahun 1987 sampai 2024, L300 terus diproduksi dengan platform yang relatif sama, jadi as kopling ini kompatibel di rentang yang sangat luas. Spline 14T, panjang 220mm — pastikan ukuran ini sesuai sebelum beli karena ada beberapa varian L300 dengan spek berbeda. Kompatibel dengan disc clutch 200mm. Material steel alloy dengan proses heat treatment yang bikin permukaannya keras tapi inti tetap tough, jadi nggak gampang patah under torsional stress. Bobot 2.5 kg, cukup berat karena memang dirancang untuk menahan torsi mesin diesel yang besar. Kalau gejalanya kopling selip, pedal kopling terasa berat nggak wajar, atau ada bunyi saat injak kopling, cek dulu kondisi as koplingnya. Ganti as kopling L300 butuh turun transmisi, jadi sekalian ganti release bearing dan pilot bearing kalau memang sudah waktunya. Mitsuda sebagai brand aftermarket sudah terbukti di segmen kendaraan komersial.","as kopling L300, as kopling Mitsuda, clutch shaft L300, spare part transmisi L300, as kopling spline 14T, komponen kopling Mitsubishi L300, as kopling 220mm, disc clutch 200mm L300, as kopling steel alloy, suku cadang transmisi L300"
5,Tie Rod End Mitsubishi Lancer Dangan 1988 Up,"Punya Mitsubishi Lancer Dangan tahun 1988-1996 dan mulai merasakan setir nggak responsif? Kemungkinan besar tie rod end-nya sudah waktunya diganti. Produk ini dari Mitsubishi sendiri — genuine parts, bukan aftermarket — jadi fit dan finish-nya persis seperti yang dirancang engineer Mitsubishi. Thread M14x1.5, tersedia untuk sisi kiri dan kanan. Steel alloy construction dengan rubber boot yang elastis tapi tahan lama. Bobot 1.2 kg per piece. Lancer Dangan memang bukan truk, tapi ini mobil yang banyak dipakai untuk operasional bisnis ringan — sales, kurir, hingga taksi online. Sistem kemudi yang presisi itu krusial untuk keselamatan, apalagi kalau kamu ngebut di tol tiap hari. Tie rod end yang aus bikin toe angle berubah, efeknya ban depan habis nggak rata dan setir bergetar di kecepatan 80-100 km/jam. Pemasangan cukup lepas baut castle nut, copot tie rod end lama, pasang yang baru, kencangkan sesuai torque spec, lalu spooring. Satu hal yang sering dilupakan: cek juga kondisi boot pada tie rod end sisi satunya. Kalau boot robek tapi joint belum oblak, segera ganti boot sebelum air masuk dan bikin bearing cepat rusak.","tie rod end Lancer Dangan, tie rod end Mitsubishi Lancer 1988, spare part kemudi Lancer Dangan, tie rod end M14x1.5, tie rod end genuine Mitsubishi, komponen steering Lancer, tie rod end kiri kanan Lancer, suku cadang Mitsubishi Lancer Dangan, tie rod end steel alloy, pengganti tie rod Lancer"
6,Packing Cylinder Head Graphite Mitsubishi Galant Eterna SOHC G63B,"Packing cylinder head graphite untuk Mitsubishi Galant Eterna bermesin SOHC G63B, tahun 1988-1993. Kenapa harus graphite? Karena gasket material graphite composite punya thermal conductivity yang lebih baik dibanding gasket konvensional, plus mampu menahan temperatur tinggi di ruang bakar tanpa cepat degrade. Ketebalan 1.2mm — ini penting karena berpengaruh ke compression ratio. Kalau tebalnya beda dari spek, rasio kompresi berubah dan performa mesin bisa drop. Material kombinasi graphite, steel, dan aluminium layer yang dirancang untuk sealing optimal antara block dan head. Sudah include valve seals, jadi sekalian ganti valve stem seal kalau memang sudah waktunya turun head. Galant Eterna dengan mesin G63B ini punya masalah klasik: overheating kalau sistem pendingin nggak dirawat, dan overheating berulang bikin head gasket bocor. Gejalanya: oli bercampur air radiator (terlihat seperti susu coklat di dipstick), atau ada gelembung di reservoir tank saat mesin idle. Kalau sudah begini, wajib ganti packing cylinder head. Sebelum pasang, pastikan permukaan block dan head sudah di-surface/facing supaya flat dan nggak ada warping. Bobot 0.8 kg, gampang di-handle.","packing cylinder head Galant Eterna, gasket head graphite G63B, packing head Mitsubishi Galant, cylinder head gasket SOHC G63B, gasket graphite composite, spare part mesin Galant Eterna 1988, packing head 1.2mm, valve seal G63B, suku cadang Galant Eterna, gasket head Mitsubishi"
7,Packing Cylinder Head Graphite Panther 2500cc,"Mesin Isuzu Panther 2500cc itu workhorse sejati — diesel, bandel, dan tahan banting. Tapi head gasket tetap punya umur pakai, terutama kalau mesin sering overheat atau coolant jarang diganti. Packing cylinder head graphite ini spesifik untuk Panther 2500cc tahun 1991-2000, ketebalan 1.2mm, material graphite composite berlapis steel dan aluminium. Beda dengan gasket kertas biasa, graphite composite tahan terhadap temperatur tinggi yang dihasilkan mesin diesel tanpa mengeras atau retak seiring waktu. Proses pemasangan: lepas intake manifold, exhaust manifold, dan semua koneksi di head — lalu angkat head, bersihkan surface dari sisa gasket lama pakai scraper yang nggak bikin scratch. Pasang gasket baru, torqued head bolt dengan pola dari tengah ke luar sesuai service manual Panther. Kalau Panther kamu mulai kehilangan tenaga, coolant berkurang terus tanpa kebocoran visible, atau ada white smoke dari knalpot — itu gejala head gasket mulai bocor. Jangan tunda ganti karena kalau dibiarkan, coolant bisa masuk ke silinder dan bikin hydrolock. Bobot 0.8 kg. Untuk Panther 2500cc yang jadi andalan travel dan logistik antar kota, jaga terus kondisi mesinnya.","packing cylinder head Panther 2500cc, gasket head graphite Isuzu Panther, packing head Panther diesel, cylinder head gasket Panther 1991, gasket graphite composite Panther, spare part mesin Panther, gasket head 1.2mm Panther, suku cadang Isuzu Panther 2500, head gasket Panther diesel, packing graphite Panther"
8,Pulley Water Pump Hino Dutro,"Sistem pendingin truk Hino Dutro itu dirancang untuk kerja berat — mengangkut muatan penuh di tanjakan, idle berjam-jam di tempat bongkar muat, atau jalan di cuaca tropis yang panas. Water pump pulley adalah komponen yang menghubungkan water pump ke drive belt, jadi kalau pulley ini rusak atau pecah, air coolant nggak bersirkulasi dan mesin overheat dalam hitungan menit. Produk ini untuk Hino Dutro 130/300 series, tahun 2002-2024. Material cast iron yang tahan terhadap korosi dan keausan. Belt groove 2PK — artinya pakai belt dengan 2 rib, jadi pastikan belt yang kamu pakai sesuai. Bore diameter 25mm, tinggal press-fit ke shaft water pump. Bobot 1.5 kg, solid casting tanpa porositas. Ciri-ciri pulley water pump yang sudah waktunya ganti: ada retak di area groove, bunyi whining dari area mesin depan saat engine running, atau coolant bocor dari area water pump. Pemasangan relatif mudah untuk mekanik yang biasa handle truk — lepas fan belt, copot pulley lama (biasanya ada 4 baut), pasang yang baru, kencangkan sesuai spec, pasang belt baru. Untuk armada Hino Dutro yang jadi tulang punggung logistik, water pump pulley adalah parts yang wajib di-stok.","pulley water pump Hino Dutro, water pump pulley Dutro 130, pulley cast iron Hino, spare part pendingin Hino Dutro, pulley belt 2PK Hino, komponen cooling system Dutro 300, water pump pulley 25mm, suku cadang Hino Dutro 2002, pulley aluminium Hino, water pump pulley truk"
9,Pulley Alternator Innova Diesel,"Toyota Innova Diesel dengan mesin 2KD-FTV (2004-2015) pakai sistem belt drive yang cukup kompleks — ada AC compressor, power steering, dan tentu saja alternator. Pulley alternator ini menghubungkan alternator ke belt system, memastikan charging system bekerja optimal. Material aluminium alloy, lebih ringan dari cast iron tapi tetap punya strength yang cukup untuk menahan belt tension. Belt groove 5PK, bore diameter 17mm. Kenapa ganti pulley alternator? Dua alasan utama: pertama, pulley aus atau getas bikin belt slip — efeknya aki nggak ngecas dan voltage drop, lampu redup, AC lemah. Kedua, pulley retak atau pecah — ini lebih parah karena belt bisa lepas total dan semua aksesori berhenti kerja. Innova Diesel yang dipakai buat operasional fleet (travel, rental, logistik ringan) sering kali running berjam-jam setiap hari, jadi pulley alternator lebih cepat aus dibanding penggunaan pribadi. Bobot 0.8 kg, pemasangan tinggal lepas belt, kendorin baut tensioner, copot pulley lama dari alternator, press pasang yang baru. Cek juga kondisi bearing alternator saat sekalian bongkar — kalau bearing sudah kasar, sekalian overhaul alternator. Aluminium alloy bikin pulley ini anti karat meskipun sering terkena cipratan air dari jalan.","pulley alternator Innova Diesel, alternator pulley 2KD-FTV, pulley aluminium Innova, spare part alternator Innova Diesel, pulley belt 5PK Innova, komponen charging Innova Diesel, pulley alternator 17mm, suku cadang Toyota Innova 2004, pulley alternator aluminium alloy, alternator Innova Diesel 2KD"
10,Tie Rod End Daihatsu Zebra Fan,"Daihatsu Zebra Fan, produksi 1986-2007 — ini kendaraan yang jadi legenda di segmen niaga ringan Indonesia. Dari angkot sampai mobil box kecil, Zebra Fan ada di mana-mana. Sistem kemudinya pakai tie rod end ukuran M12x1.25, dan produk ini dilengkapi rubber boot serta tersedia untuk sisi kiri dan kanan. Steel alloy yang dipakai cukup tangguh untuk kendaraan yang sering muat berat dan jalan di kondisi jalan bervariasi. Satu hal yang bikin tie rod end Zebra Fan cepat rusak: kebiasaan supir yang suka nabrak lubang tanpa mengurangi kecepatan. Impact dari lubang itu ditransfer langsung ke tie rod joint, lama-lama bearing di dalamnya oblak. Gejala yang perlu diwaspadai: setir terasa ringan di satu sisi tapi berat di sisi lain, bunyi klotak-klotak saat putar setir penuh, atau ban depan aus di bagian dalam tapi bagian luar masih tebal. Bobot 1.2 kg, solid build. Pemasangan: lepas castle nut, pakai tie rod separator untuk melepaskan ball stud dari knuckle, hitung jumlah putaran saat melepas tie rod end lama supaya toe setting nggak terlalu jauh berubah, pasang yang baru dengan jumlah putaran yang sama, kencangkan, dan sesegera mungkin bawa ke spooring. Harga terjangkau tapi fungsinya krusial — nggak ada alasan untuk menunda penggantian.","tie rod end Zebra Fan, tie rod end Daihatsu Zebra, spare part kemudi Zebra Fan, tie rod end M12x1.25, komponen steering Daihatsu Zebra, tie rod end Zebra Fan 1986, suku cadang Daihatsu Zebra Fan, tie rod end steel alloy, tie rod end rubber boot, pengganti tie rod Zebra"
