product_name,part_number,brand,category,vehicle_compatibility,material,weight_kg,price_retail,price_wholesale,stock_qty,condition,oem_number,key_features,notes
Filter Oli Hino J05E,15607-2191,Hino,Filter Oli,Hino Dutro 300 2008-2024; Hino Ranger FG260,Kertas,0.5,Rp 120.000,Rp 95.000,12,Baru,15607-2191L000,"Media filter berkualitas tinggi, Seal O-ring termasuk, Flow rate optimal",
Filter Solar Hino J05E,23304-78091,Hino,Filter Solar,Hino Dutro 300 2008-2024; Hino Ranger,Karet+Kertas,0.3,Rp 85.000,Rp 68.000,15,Baru,23304-78091L000,"Water separator built-in, Housing plastik tahan karat",
Filter Udara Hino Dutro,17801-68020,Hino,Filter Udara,Hino Dutro 300 2008-2024,Kertas+Metal,0.8,Rp 150.000,Rp 120.000,10,Baru,17801-68020L000,"Flow tinggi, Washed element compatible",
Oli Mesin Hino 15W-40,SSH1540,Hino,Oli Mesin,Semua truk Hino diesel,Base Oil,20,Rp 850.000,Rp 720.000,8,Baru,T905151540,"API CI-4/SL, JASO DH-1, Volume 20L",
Kampas Rem Depan Hino Dutro,MB060700,Hino,Kampas Rem,Hino Dutro 300 2008-2024,Asbestos-free,2.5,Rp 350.000,Rp 280.000,6,Baru,MKD3001AN,"Kampas rem non-asbes, Low noise formula, Extended life",
Kampas Rem Belakang Isuzu NHR,MB060800,Isuzu,Kampas Rem,Isuzu NHR/NKR 2010-2022,Asbestos-free,2.2,Rp 320.000,Rp 256.000,9,Baru,ME305101,"Cocok NHR55/NKR55/NKR71, OEM quality",
Filter Oli Isuzu 4HK1,8980924810,Isuzu,Filter Oli,Isuzu NQR/NPR 4HK1 2008-2024,Kertas,0.4,Rp 95.000,Rp 76.000,20,Baru,8-98092481-0,"Engine protection optimal, High flow media",
Filter Solar Isuzu NPR,8980175400,Isuzu,Filter Solar,Isuzu NPR/NQR N-series 2008-2024,Kertas+Metal,0.35,Rp 75.000,Rp 60.000,18,Baru,8-98017540-0,"Water drain valve, Quick release design",
Filter Udara Isuzu ELF,8970622940,Isuzu,Filter Udara,Isuzu ELF NKR71/NHR55 2006-2024,Kertas,0.7,Rp 135.000,Rp 108.000,14,Baru,8-97062294-0,"Heavy duty construction, Washable pre-filter",
Oli Mesin Isuzu 10W-30,ID10W30,Isuzu,Oli Mesin,Isuzu N-series diesel,Semi Synthetic,18,Rp 680.000,Rp 544.000,10,Baru,ISU103018,"Isuzu genuine, Volume 18L",
Kampas Rem Depan Mitsubishi Canter,MBC6700,Mitsubishi,Kampas Rem,Mitsubishi Canter FE71/FE83 2005-2020,Asbestos-free,2.3,Rp 280.000,Rp 224.000,12,Baru,MN113306,"Ferodo compound, Heat resistant, Low dust",
Kampas Rem Belakang Mitsubishi Canter,MBC6800,Mitsubishi,Kampas Rem,Mitsubishi Canter PS110/PS125 2005-2020,Ceramic,2.1,Rp 260.000,Rp 208.000,15,Baru,MC897719,"Ceramic formula, Silent braking, Durability",
